FIPS,State,County,Variable_Code,Value
8007,CO,Archuleta,LACCESS_SENIORS10,462.0607201
8007,CO,Archuleta,LACCESS_SENIORS15,607.3303686
8007,CO,Archuleta,PCH_LACCESS_SENIORS_10_15,31.43951481
8007,CO,Archuleta,PCT_LACCESS_SENIORS10,3.823739822
8007,CO,Archuleta,PCT_LACCESS_SENIORS15,5.02590507
8007,CO,Archuleta,LACCESS_WHITE15,2940.743088
8007,CO,Archuleta,PCT_LACCESS_WHITE15,24.33584151
8007,CO,Archuleta,LACCESS_BLACK15,16.3732229
8007,CO,Archuleta,PCT_LACCESS_BLACK15,0.135495059
8007,CO,Archuleta,LACCESS_HISP15,901.0766031
8007,CO,Archuleta,PCT_LACCESS_HISP15,7.456774273
8007,CO,Archuleta,LACCESS_NHASIAN15,21.40770208
8007,CO,Archuleta,PCT_LACCESS_NHASIAN15,0.177157415
8007,CO,Archuleta,LACCESS_NHNA15,90.2917592
8007,CO,Archuleta,PCT_LACCESS_NHNA15,0.74720092
8007,CO,Archuleta,LACCESS_NHPI15,4.399243641
8007,CO,Archuleta,PCT_LACCESS_NHPI15,0.036405525
8007,CO,Archuleta,LACCESS_MULTIR15,527.6865249
8007,CO,Archuleta,PCT_LACCESS_MULTIR15,4.366819968
8009,CO,Baca,LACCESS_POP10,955.2245047
8009,CO,Baca,LACCESS_POP15,955.2245047
8009,CO,Baca,PCH_LACCESS_POP_10_15,0
8009,CO,Baca,PCT_LACCESS_POP10,25.21711998
8009,CO,Baca,PCT_LACCESS_POP15,25.21711998
8009,CO,Baca,LACCESS_LOWI10,316.2567746
8009,CO,Baca,LACCESS_LOWI15,318.1287842
8009,CO,Baca,PCH_LACCESS_LOWI_10_15,0.591927126
8009,CO,Baca,PCT_LACCESS_LOWI10,8.348911683
8009,CO,Baca,PCT_LACCESS_LOWI15,8.398331156
8009,CO,Baca,LACCESS_HHNV10,13.13331061
8009,CO,Baca,LACCESS_HHNV15,11.96217812
8009,CO,Baca,PCH_LACCESS_HHNV_10_15,-8.917267898
8009,CO,Baca,PCT_LACCESS_HHNV10,0.779424962
8009,CO,Baca,PCT_LACCESS_HHNV15,0.70992155
8009,CO,Baca,LACCESS_SNAP15,34.60870522
8009,CO,Baca,PCT_LACCESS_SNAP15,2.053929093
8009,CO,Baca,LACCESS_CHILD10,201.6658837
8009,CO,Baca,LACCESS_CHILD15,201.6658837
8009,CO,Baca,LACCESS_CHILD_10_15,0
8009,CO,Baca,PCT_LACCESS_CHILD10,5.323808968
8009,CO,Baca,PCT_LACCESS_CHILD15,5.323808968
8009,CO,Baca,LACCESS_SENIORS10,197.0624937
8009,CO,Baca,LACCESS_SENIORS15,197.0624937
8009,CO,Baca,PCH_LACCESS_SENIORS_10_15,0
8009,CO,Baca,PCT_LACCESS_SENIORS10,5.20228336
8009,CO,Baca,PCT_LACCESS_SENIORS15,5.20228336
8009,CO,Baca,LACCESS_WHITE15,887.0607142
8009,CO,Baca,PCT_LACCESS_WHITE15,23.41765349
8009,CO,Baca,LACCESS_BLACK15,3.000000108
8009,CO,Baca,PCT_LACCESS_BLACK15,0.079197469
8009,CO,Baca,LACCESS_HISP15,67.23152412
8009,CO,Baca,PCT_LACCESS_HISP15,1.774855441
8009,CO,Baca,LACCESS_NHASIAN15,1.999999944
8009,CO,Baca,PCT_LACCESS_NHASIAN15,0.052798309
8009,CO,Baca,LACCESS_NHNA15,15.63913076
8009,CO,Baca,PCT_LACCESS_NHNA15,0.412859841
8009,CO,Baca,LACCESS_NHPI15,0
8009,CO,Baca,PCT_LACCESS_NHPI15,0
8009,CO,Baca,LACCESS_MULTIR15,47.52466037
8009,CO,Baca,PCT_LACCESS_MULTIR15,1.254610886
8011,CO,Bent,LACCESS_POP10,1669.628319
8011,CO,Bent,LACCESS_POP15,1680.811086
8011,CO,Bent,PCH_LACCESS_POP_10_15,0.669775811
8011,CO,Bent,PCT_LACCESS_POP10,25.69054192
8011,CO,Bent,PCT_LACCESS_POP15,25.86261095
8011,CO,Bent,LACCESS_LOWI10,822.4790136
8011,CO,Bent,LACCESS_LOWI15,786.4800717
8011,CO,Bent,PCH_LACCESS_LOWI_10_15,-4.376882727
8011,CO,Bent,PCT_LACCESS_LOWI10,12.65547028
8011,CO,Bent,PCT_LACCESS_LOWI15,12.10155519
8011,CO,Bent,LACCESS_HHNV10,40.06286215
8011,CO,Bent,LACCESS_HHNV15,33.76585693
8011,CO,Bent,PCH_LACCESS_HHNV_10_15,-15.71781167
8011,CO,Bent,PCT_LACCESS_HHNV10,2.186837454
8011,CO,Bent,PCT_LACCESS_HHNV15,1.843114461
8011,CO,Bent,LACCESS_SNAP15,98.44261626
8011,CO,Bent,PCT_LACCESS_SNAP15,5.373505254
8011,CO,Bent,LACCESS_CHILD10,282.7661695
8011,CO,Bent,LACCESS_CHILD15,284.6525014
8011,CO,Bent,LACCESS_CHILD_10_15,0.66709957
8011,CO,Bent,PCT_LACCESS_CHILD10,4.350918134
8011,CO,Bent,PCT_LACCESS_CHILD15,4.37994309
8011,CO,Bent,LACCESS_SENIORS10,179.0263298
8011,CO,Bent,LACCESS_SENIORS15,181.1765722
8011,CO,Bent,PCH_LACCESS_SENIORS_10_15,1.201076077
8011,CO,Bent,PCT_LACCESS_SENIORS10,2.754675024
8011,CO,Bent,PCT_LACCESS_SENIORS15,2.787760767
8011,CO,Bent,LACCESS_WHITE15,1317.636183
8011,CO,Bent,PCT_LACCESS_WHITE15,20.27444504
8011,CO,Bent,LACCESS_BLACK15,147.8033121
8011,CO,Bent,PCT_LACCESS_BLACK15,2.274246994
8011,CO,Bent,LACCESS_HISP15,445.0220919
8011,CO,Bent,PCT_LACCESS_HISP15,6.84754719
8011,CO,Bent,LACCESS_NHASIAN15,18.4172058
8011,CO,Bent,PCT_LACCESS_NHASIAN15,0.283385225
8011,CO,Bent,LACCESS_NHNA15,34.6866276
8011,CO,Bent,PCT_LACCESS_NHNA15,0.533722536
8011,CO,Bent,LACCESS_NHPI15,3.999999948
8011,CO,Bent,PCT_LACCESS_NHPI15,0.06154793
8011,CO,Bent,LACCESS_MULTIR15,158.2677471
8011,CO,Bent,PCT_LACCESS_MULTIR15,2.435263072
8013,CO,Boulder,LACCESS_POP10,45863.12587
8013,CO,Boulder,LACCESS_POP15,43147.27948
8013,CO,Boulder,PCH_LACCESS_POP_10_15,-5.921633844
8013,CO,Boulder,PCT_LACCESS_POP10,15.56967544
8013,CO,Boulder,PCT_LACCESS_POP15,14.64769627
8013,CO,Boulder,LACCESS_LOWI10,8372.256707
8013,CO,Boulder,LACCESS_LOWI15,9078.233637
8013,CO,Boulder,PCH_LACCESS_LOWI_10_15,8.432337364
8013,CO,Boulder,PCT_LACCESS_LOWI10,2.842224929
8013,CO,Boulder,PCT_LACCESS_LOWI15,3.081890924
8013,CO,Boulder,LACCESS_HHNV10,675.7819501
8013,CO,Boulder,LACCESS_HHNV15,944.7153057
8013,CO,Boulder,PCH_LACCESS_HHNV_10_15,39.79587729
8013,CO,Boulder,PCT_LACCESS_HHNV10,0.566455951
8013,CO,Boulder,PCT_LACCESS_HHNV15,0.791882067
8013,CO,Boulder,LACCESS_SNAP15,882.0993475
8013,CO,Boulder,PCT_LACCESS_SNAP15,0.739395932
8013,CO,Boulder,LACCESS_CHILD10,11570.4273
8013,CO,Boulder,LACCESS_CHILD15,10437.70807
8013,CO,Boulder,LACCESS_CHILD_10_15,-9.789778729
8013,CO,Boulder,PCT_LACCESS_CHILD10,3.927944169
8013,CO,Boulder,PCT_LACCESS_CHILD15,3.543407127
8013,CO,Boulder,LACCESS_SENIORS10,4574.524786
8013,CO,Boulder,LACCESS_SENIORS15,4629.065607
8013,CO,Boulder,PCH_LACCESS_SENIORS_10_15,1.192272935
8013,CO,Boulder,PCT_LACCESS_SENIORS10,1.552965806
8013,CO,Boulder,PCT_LACCESS_SENIORS15,1.571481397
8013,CO,Boulder,LACCESS_WHITE15,37956.28647
8013,CO,Boulder,PCT_LACCESS_WHITE15,12.88545101
8013,CO,Boulder,LACCESS_BLACK15,350.9817993
8013,CO,Boulder,PCT_LACCESS_BLACK15,0.119151772
8013,CO,Boulder,LACCESS_HISP15,6240.006378
8013,CO,Boulder,PCT_LACCESS_HISP15,2.118365729
8013,CO,Boulder,LACCESS_NHASIAN15,1345.268247
8013,CO,Boulder,PCT_LACCESS_NHASIAN15,0.456693468
8013,CO,Boulder,LACCESS_NHNA15,308.2928614
8013,CO,Boulder,PCT_LACCESS_NHNA15,0.104659674
8013,CO,Boulder,LACCESS_NHPI15,9.769399416
8013,CO,Boulder,PCT_LACCESS_NHPI15,0.003316529
8013,CO,Boulder,LACCESS_MULTIR15,3176.680669
8013,CO,Boulder,PCT_LACCESS_MULTIR15,1.078423812
8014,CO,Broomfield,LACCESS_POP10,8381.120271
8014,CO,Broomfield,LACCESS_POP15,16646.54017
8014,CO,Broomfield,PCH_LACCESS_POP_10_15,98.61951185
8014,CO,Broomfield,PCT_LACCESS_POP10,14.99601043
8014,CO,Broomfield,PCT_LACCESS_POP15,29.78500272
8014,CO,Broomfield,LACCESS_LOWI10,715.8925329
8014,CO,Broomfield,LACCESS_LOWI15,2905.127642
8014,CO,Broomfield,PCH_LACCESS_LOWI_10_15,305.8049928
8014,CO,Broomfield,PCT_LACCESS_LOWI10,1.280918486
8014,CO,Broomfield,PCT_LACCESS_LOWI15,5.198031172
8014,CO,Broomfield,LACCESS_HHNV10,58.9688623
8014,CO,Broomfield,LACCESS_HHNV15,220.6853083
8014,CO,Broomfield,PCH_LACCESS_HHNV_10_15,274.2404037
8014,CO,Broomfield,PCT_LACCESS_HHNV10,0.275375279
8014,CO,Broomfield,PCT_LACCESS_HHNV15,1.030565557
8014,CO,Broomfield,LACCESS_SNAP15,283.4523287
8014,CO,Broomfield,PCT_LACCESS_SNAP15,1.323677635
8014,CO,Broomfield,LACCESS_CHILD10,2462.85428
8014,CO,Broomfield,LACCESS_CHILD15,4552.979914
8014,CO,Broomfield,LACCESS_CHILD_10_15,84.86598867
8014,CO,Broomfield,PCT_LACCESS_CHILD10,4.406688757
8014,CO,Broomfield,PCT_LACCESS_CHILD15,8.146468739
8014,CO,Broomfield,LACCESS_SENIORS10,716.421503
8014,CO,Broomfield,LACCESS_SENIORS15,1634.689814
8014,CO,Broomfield,PCH_LACCESS_SENIORS_10_15,128.174309
8014,CO,Broomfield,PCT_LACCESS_SENIORS10,1.281864952
8014,CO,Broomfield,PCT_LACCESS_SENIORS15,2.924886496
8014,CO,Broomfield,LACCESS_WHITE15,14287.37887
8014,CO,Broomfield,PCT_LACCESS_WHITE15,25.56384775
8014,CO,Broomfield,LACCESS_BLACK15,169.8509953
8014,CO,Broomfield,PCT_LACCESS_BLACK15,0.303907737
8014,CO,Broomfield,LACCESS_HISP15,1944.77487
8014,CO,Broomfield,PCT_LACCESS_HISP15,3.479709549
8014,CO,Broomfield,LACCESS_NHASIAN15,1036.20401
8014,CO,Broomfield,PCT_LACCESS_NHASIAN15,1.854039275
8014,CO,Broomfield,LACCESS_NHNA15,101.0053708
8014,CO,Broomfield,PCT_LACCESS_NHNA15,0.180724956
8014,CO,Broomfield,LACCESS_NHPI15,11.00353871
8014,CO,Broomfield,PCT_LACCESS_NHPI15,0.019688201
8014,CO,Broomfield,LACCESS_MULTIR15,1041.097356
8014,CO,Broomfield,PCT_LACCESS_MULTIR15,1.862794746
8015,CO,Chaffee,LACCESS_POP10,1359.700451
8015,CO,Chaffee,LACCESS_POP15,1782.822099
8015,CO,Chaffee,PCH_LACCESS_POP_10_15,31.11874001
8015,CO,Chaffee,PCT_LACCESS_POP10,7.634906233
8015,CO,Chaffee,PCT_LACCESS_POP15,10.01079285
8015,CO,Chaffee,LACCESS_LOWI10,330.8124465
8015,CO,Chaffee,LACCESS_LOWI15,449.3482836
8015,CO,Chaffee,PCH_LACCESS_LOWI_10_15,35.83173435
8015,CO,Chaffee,PCT_LACCESS_LOWI10,1.857557676
8015,CO,Chaffee,PCT_LACCESS_LOWI15,2.523152808
8015,CO,Chaffee,LACCESS_HHNV10,53.73458295
8015,CO,Chaffee,LACCESS_HHNV15,63.21466901
8015,CO,Chaffee,PCH_LACCESS_HHNV_10_15,17.64242977
8015,CO,Chaffee,PCT_LACCESS_HHNV10,0.706940968
8015,CO,Chaffee,PCT_LACCESS_HHNV15,0.831662531
8015,CO,Chaffee,LACCESS_SNAP15,56.17936244
8015,CO,Chaffee,PCT_LACCESS_SNAP15,0.739104887
8015,CO,Chaffee,LACCESS_CHILD10,198.3026944
8015,CO,Chaffee,LACCESS_CHILD15,301.2838597
8015,CO,Chaffee,LACCESS_CHILD_10_15,51.93129906
8015,CO,Chaffee,PCT_LACCESS_CHILD10,1.113497077
8015,CO,Chaffee,PCT_LACCESS_CHILD15,1.691750574
8015,CO,Chaffee,LACCESS_SENIORS10,388.4864618
8015,CO,Chaffee,LACCESS_SENIORS15,455.4320458
8015,CO,Chaffee,PCH_LACCESS_SENIORS_10_15,17.23241107
8015,CO,Chaffee,PCT_LACCESS_SENIORS10,2.181405254
8015,CO,Chaffee,PCT_LACCESS_SENIORS15,2.557313975
8015,CO,Chaffee,LACCESS_WHITE15,1709.512044
8015,CO,Chaffee,PCT_LACCESS_WHITE15,9.599146746
8015,CO,Chaffee,LACCESS_BLACK15,4.702762871
8015,CO,Chaffee,PCT_LACCESS_BLACK15,0.026406664
8015,CO,Chaffee,LACCESS_HISP15,78.31326203
8015,CO,Chaffee,PCT_LACCESS_HISP15,0.439739806
8015,CO,Chaffee,LACCESS_NHASIAN15,8.489393966
8015,CO,Chaffee,PCT_LACCESS_NHASIAN15,0.047669122
8015,CO,Chaffee,LACCESS_NHNA15,9.292341089
8015,CO,Chaffee,PCT_LACCESS_NHNA15,0.052177781
8015,CO,Chaffee,LACCESS_NHPI15,1.050811373
8015,CO,Chaffee,PCT_LACCESS_NHPI15,0.005900451
8015,CO,Chaffee,LACCESS_MULTIR15,49.77473418
8015,CO,Chaffee,PCT_LACCESS_MULTIR15,0.279492022
8017,CO,Cheyenne,LACCESS_POP10,621.6522557
8017,CO,Cheyenne,LACCESS_POP15,621.6522557
8017,CO,Cheyenne,PCH_LACCESS_POP_10_15,0
8017,CO,Cheyenne,PCT_LACCESS_POP10,33.85905532
8017,CO,Cheyenne,PCT_LACCESS_POP15,33.85905532
8017,CO,Cheyenne,LACCESS_LOWI10,212.1374915
8017,CO,Cheyenne,LACCESS_LOWI15,181.3838157
8017,CO,Cheyenne,PCH_LACCESS_LOWI_10_15,-14.49704886
8017,CO,Cheyenne,PCT_LACCESS_LOWI10,11.5543296
8017,CO,Cheyenne,PCT_LACCESS_LOWI15,9.879292793
8017,CO,Cheyenne,LACCESS_HHNV10,25.5602573
8017,CO,Cheyenne,LACCESS_HHNV15,8.153574416
8017,CO,Cheyenne,PCH_LACCESS_HHNV_10_15,-68.1005777
8017,CO,Cheyenne,PCT_LACCESS_HHNV10,3.251941132
8017,CO,Cheyenne,PCT_LACCESS_HHNV15,1.037350435
8017,CO,Cheyenne,LACCESS_SNAP15,19.0056368
8017,CO,Cheyenne,PCT_LACCESS_SNAP15,2.418019949
